Type,FSWP-8
Version,3.01
Date,18.May 2026
VSupply,OFF
Mode,Voltage
1.0162487030,-20.8724689484
1.0185914040,-20.8842372894
1.0209394693,-20.9401473999
1.0232930183,-20.9401473999
1.0256519318,-20.9401473999
1.0280163288,-20.9401473999
1.0303860903,-20.9401473999
1.0327614546,-20.9401473999
1.0351421833,-20.9401473999
1.0375283957,-20.9401473999
1.0399202108,-20.9401473999
1.0423173904,-20.9401473999
1.0447201729,-20.9401473999
1.0471285582,-20.9401473999
1.0495424271,-20.9401473999
1.0519618988,-20.9401473999
1.0543868542,-20.9401473999
1.0568175316,-20.9401473999
1.0592536926,-20.9401473999
1.0616955757,-20.9401473999
1.0641430616,-20.9401473999
1.0665961504,-20.9401473999
1.0690548420,-20.9401473999
1.0715192556,-20.9401473999
1.0739893913,-20.9401473999
1.0764652491,-20.9401473999
1.0789467096,-20.9401473999
1.0814340115,-20.9401473999
1.0839269161,-20.9401473999
1.0864256620,-20.9401473999
1.0889301300,-20.9401473999
1.0914403200,-20.9401473999
1.0939563513,-20.9401473999
1.0964782238,-20.9401473999
1.0990058184,-21.0136909485
1.1015392542,-21.1725940704
1.1040786505,-21.3546314240
1.1066237688,-21.5421161652
1.1091748476,-21.7296085358
1.1117317677,-21.9170989990
1.1142945290,-22.1240482330
1.1168632507,-22.3031749725
1.1194379330,-22.3413429260
1.1220184565,-22.3436965942
1.1246049404,-22.3717346191
1.1271975040,-22.4179153442
1.1297959089,-22.4402942657
1.1324003935,-22.4921379089
1.1350108385,-22.5088539124
1.1376272440,-22.5586414337
1.1402497292,-22.5663604736
1.1428782940,-22.6231517792
1.1455129385,-22.7611961365
1.1481536627,-22.7759304047
1.1508003473,-22.8134803772
1.1534532309,-22.9640693665
1.1561121941,-23.0029697418
1.1587773561,-23.0038146973
1.1614485979,-23.1669521332
1.1641260386,-23.1941432953
1.1668096781,-23.2384223938
1.1694993973,-23.3815917969
1.1721953154,-23.4073276520
1.1748975515,-23.4738616943
1.1776059866,-23.6452140808
1.1803206205,-23.6657905579
1.1830415726,-23.7093105316
1.1857687235,-23.8830928802
1.1885021925,-23.9266433716
1.1912419796,-23.9499988556
1.1939880848,-24.1209697723
1.1967405081,-24.1226005554
1.1994993687,-24.2342128754
1.2022644281,-24.3096694946
1.2050359249,-24.3185615540
1.2078138590,-24.4581642151
1.2105981112,-24.5145244598
1.2133888006,-24.5207462311
1.2161860466,-24.6066570282
1.2189896107,-24.6481590271
1.2217996120,-24.6952438354
1.2246161699,-24.7423267365
1.2274392843,-24.7551536560
1.2302688360,-24.7894115448
1.2331048250,-24.8109970093
1.2359474897,-25.1012630463
1.2387965918,-25.3915157318
1.2416522503,-25.6440086365
1.2445145845,-25.8767566681
1.2473834753,-26.1095027924
1.2502590418,-26.3422546387
1.2531411648,-26.5196971893
1.2560299635,-26.6948623657
1.2589254379,-26.8700294495
1.2618275881,-27.0429821014
1.2647362947,-27.2106494904
1.2676519156,-27.3783264160
1.2705740929,-27.5459957123
1.2735030651,-27.7369613647
1.2764388323,-27.9398670197
1.2793812752,-28.1427669525
1.2823306322,-28.3476390839
1.2852866650,-28.5849552155
1.2882494926,-28.8222694397
1.2912192345,-28.8222694397
1.2941958904,-28.8222694397
1.2971792221,-28.8222694397
1.3001695871,-28.8222694397
1.3031667471,-28.8222694397
1.3061708212,-28.8222694397
1.3091819286,-28.8222694397
1.3121999502,-28.8222694397
1.3152248859,-28.8222694397
1.3182567358,-28.8222694397
1.3212956190,-28.8222694397
1.3243415356,-28.8222694397
1.3273944855,-28.8222694397
1.3304544687,-28.8222694397
1.3335214853,-28.8222694397
1.3365955353,-28.8222694397
1.3396767378,-28.8222694397
1.3427649736,-28.8222694397
1.3458603621,-28.9564571381
1.3489629030,-28.9572372437
1.3520725965,-29.0595893860
1.3551894426,-29.0996608734
1.3583134413,-29.2238922119
1.3614447117,-29.2420787811
1.3645831347,-29.2848567963
1.3677288294,-29.3520088196
1.3708817959,-29.4186725616
1.3740419149,-29.4853343964
1.3772094250,-29.4971847534
1.3803843260,-29.5127887726
1.3835663795,-29.5166072845
1.3867558241,-29.5276336670
1.3899526596,-29.5312690735
1.3931567669,-29.5397129059
1.3963683844,-29.5424804688
1.3995872736,-29.5456199646
1.4028136730,-29.5459327698
1.4060475826,-29.5490837097
1.4092887640,-29.5525493622
1.4125375748,-29.5525493622
1.4157937765,-29.5525493622
1.4190574884,-29.5525493622
1.4223288298,-29.5525493622
1.4256075621,-29.5525493622
1.4288939238,-29.5525493622
1.4321879148,-29.5525493622
1.4354894161,-29.5490837097
1.4387985468,-29.5459327698
1.4421153069,-29.5456199646
1.4454398155,-29.5424804688
1.4487718344,-29.5397129059
1.4521116018,-29.5312690735
1.4554591179,-29.5276336670
1.4588142633,-29.5166072845
1.4621771574,-29.5127887726
1.4655478001,-29.5127887726
1.4689263105,-29.5127887726
1.4723124504,-29.5166072845
1.4757065773,-29.5312690735
1.4791084528,-29.5397129059
1.4825180769,-29.5397129059
1.4859356880,-29.5397129059
1.4893610477,-29.5397129059
1.4927943945,-29.5397129059
1.4962356091,-29.5397129059
1.4996848106,-29.6588764191
1.5031419992,-29.6898822784
1.5066070557,-29.8573856354
1.5100802183,-29.9841690063
1.5135612488,-29.9979228973
1.5170503855,-30.1750431061
1.5205475092,-30.3427467346
1.5240527391,-30.3939895630
1.5275660753,-30.5265159607
1.5310875177,-30.7013339996
1.5346169472,-30.8745079041
1.5381547213,-30.8850250244
1.5417004824,-31.1233253479
1.5452544689,-31.2435226440
1.5488165617,-31.3550167084
1.5523869991,-31.5551548004
1.5559656620,-31.6385154724
1.5595525503,-31.8718814850
1.5631476641,-31.9869918823
